id_cliente,nome_cliente,METODO_RECURSO,Total Requisições,4xx,2xx,5xx,Score
88,CAMADA_AMPL0,PUT / Pix - QR Code,1,0,1,0,
89,NIMBUS_EXTERNO,PUT / PIX - Gerenciamento de Devoluções,16,8,8,0,
89,NIMBUS_EXTERNO,PUT / Pix - QR Code,1130,0,1112,18,
89,NIMBUS_EXTERNO,PATCH / PIX - Gerenciamento de Cobranças,83,0,80,3,
89,NIMBUS_EXTERNO,GET / PIX - Gerenciamento de Cobranças,2575,5,2568,2,
90,TOPO_DINAMICO,PUT / PIX - Gerenciamento de Cobranças,46,0,46,0,
90,TOPO_DINAMICO,GET / PIX - Gerenciamento de Cobranças,67,0,67,0,
90,TOPO_DINAMICO,PATCH / PIX - Gerenciamento de Cobranças,5,0,5,0,
91,NIMBUS_INFERIOR,PUT / Pix - QR Code,493,0,486,7,
91,NIMBUS_INFERIOR,GET / PIX - Gerenciamento de Cobranças,326857,0,326851,6,0.0046568149682559
91,NIMBUS_INFERIOR,PATCH / PIX - Gerenciamento de Cobranças,50,0,50,0,
92,TORRE_FECHADO,PUT / Pix - QR Code,3,0,3,0,
92,TORRE_FECHADO,GET / PIX - Gerenciamento de Cobranças,50,0,50,0,
93,DELTA2_CENTRAL,PUT / Pix - QR Code,141,0,141,0,
93,DELTA2_CENTRAL,PATCH / PIX - Gerenciamento de Cobranças,12,0,12,0,
93,DELTA2_CENTRAL,GET / PIX - Gerenciamento de Cobranças,16484,0,16484,0,
94,GRID_BAIXO,GET / PIX - Gerenciamento de Pix recebidos /pix,13475,13427,0,48,
95,ZONE_ABERTO,GET / PIX - Gerenciamento de Cobranças,174978,0,174972,6,0.0024929561536558
95,ZONE_ABERTO,PUT / Pix - QR Code,315,0,313,2,
95,ZONE_ABERTO,PATCH / PIX - Gerenciamento de Cobranças,24,0,23,1,
96,LUZ_NEUTRO,PUT / PIX - Gerenciamento de Cobranças,791,0,787,4,
96,LUZ_NEUTRO,GET / PIX - Gerenciamento de Cobranças,5866,0,5865,1,
97,PULSO_LENTO,PATCH / PIX - Gerenciamento de Cobranças,61,0,60,1,
97,PULSO_LENTO,GET / PIX - Gerenciamento de Cobranças,3581,0,3577,4,
97,PULSO_LENTO,PUT / PIX - Gerenciamento de Cobranças,446,2,442,2,
98,ROCHA_LATERAL,GET / PIX - Gerenciamento de Pix recebidos /,531,32,499,0,
99,ESFERA_CLASSICO,PUT / PIX - Gerenciamento de Cobranças,73,0,73,0,
99,ESFERA_CLASSICO,GET / PIX - Gerenciamento de Cobranças,1289,0,1289,0,
100,PONTE_PAR,GET / PIX - Gerenciamento de Pix recebidos /,1235,223,991,21,
101,WAVE_AMPL0,PUT / Pix - QR Code,935,0,929,6,
101,WAVE_AMPL0,PUT / PIX - Gerenciamento de Devoluções,6,0,6,0,
101,WAVE_AMPL0,PATCH / PIX - Gerenciamento de Cobranças,3,0,2,1,
101,WAVE_AMPL0,GET / Pix - Consultar Pix,3139,0,3139,0,
101,WAVE_AMPL0,GET / PIX - Gerenciamento de Cobranças,7342,0,7334,8,
101,WAVE_AMPL0,GET / PIX - Gerenciamento de Pix recebidos /pix,177,0,177,0,
102,PONTE_ABSTRATO,GET / PIX - Gerenciamento de Pix recebidos /pix,3,1,2,0,
103,SEMENTE_FINO,GET / PIX - Gerenciamento de Pix recebidos /pix,7,0,7,0,
104,PEDRA_ESTREITO,PUT / Pix - QR Code,15,0,15,0,
104,PEDRA_ESTREITO,GET / PIX - Gerenciamento de Cobranças,184,0,184,0,
105,FIELD_MORTO,GET / PIX - Gerenciamento de Pix recebidos /pix,7,0,7,0,
106,PICO_PRATA,GET / PIX - Gerenciamento de Pix recebidos /pix,7,0,7,0,
107,SINAL_CONCRETO,PUT / PIX - Gerenciamento de Cobranças,7763,0,7666,97,
107,SINAL_CONCRETO,GET / PIX - Gerenciamento de Cobranças,218438,31,218297,110,0.0173038117956105
108,CUME_SERENO,GET / PIX - Gerenciamento de Cobranças,12203,7,12192,4,
108,CUME_SERENO,PUT / PIX - Gerenciamento de Cobranças,205,0,205,0,
109,PLANO_LEVE,PUT / Pix - QR Code,224,0,224,0,
109,PLANO_LEVE,GET / PIX - Gerenciamento de Cobranças,4876,0,4876,0,
110,FAIXA_INTERNO,GET / PIX - Gerenciamento de Cobranças,2611,0,2611,0,
110,FAIXA_INTERNO,PATCH / PIX - Gerenciamento de Cobranças,15,0,15,0,
110,FAIXA_INTERNO,PUT / PIX - Gerenciamento de Cobranças,108,0,108,0,
111,RAIZ_NEUTRO,PUT / PIX - Gerenciamento de Cobranças,317,0,317,0,
111,RAIZ_NEUTRO,GET / PIX - Gerenciamento de Cobranças,3999,0,3999,0,
112,PICO_SUPERIOR,PUT / PIX - Gerenciamento de Cobranças,36,0,36,0,
112,PICO_SUPERIOR,GET / PIX - Gerenciamento de Cobranças,128,0,128,0,
113,NEXO_FLUIDO,PUT / Pix - QR Code,15,0,15,0,
113,NEXO_FLUIDO,GET / PIX - Gerenciamento de Cobranças,318708,1,318670,37,0.0048544809223294
114,CICLO_CENTRAL,PATCH / PIX - Gerenciamento de Cobranças,5,0,5,0,
114,CICLO_CENTRAL,PUT / PIX - Gerenciamento de Cobranças,41,0,41,0,
114,CICLO_CENTRAL,GET / PIX - Gerenciamento de Cobranças,243,0,241,2,
115,ORBITA_ESTREITO,PUT / Pix - QR Code,1012,0,1009,3,
115,ORBITA_ESTREITO,GET / PIX - Gerenciamento de Cobranças,26110,5,26040,65,
115,ORBITA_ESTREITO,GET / Pix - Consultar Pix,632613,0,630419,2194,0.0090129986125838
116,POINT_LOCAL,PUT / PIX - Gerenciamento de Cobranças,2029,1,2026,2,
116,POINT_LOCAL,PATCH / PIX - Gerenciamento de Cobranças,8599,0,428,8171,
117,CICLO_BAIXO,GET / PIX - Gerenciamento de Cobranças,3623,0,3622,1,
117,CICLO_BAIXO,PUT / Pix - QR Code,487,0,483,4,
118,LINHA_FRIO,PUT / Pix - QR Code,1400,3,1361,36,
118,LINHA_FRIO,GET / PIX - Gerenciamento de Cobranças,35671,41,35542,88,
119,ORBITA_BAIXO,GET / PIX - Gerenciamento de Pix recebidos /pix,1,0,1,0,
119,ORBITA_BAIXO,GET / PIX - Gerenciamento de Cobranças,1379356,643142,732947,3267,46.6459037074873
119,ORBITA_BAIXO,GET / Pix - Consultar Pix,1,1,0,0,
119,ORBITA_BAIXO,PUT / PIX - Gerenciamento de Cobranças,9886,1,9727,158,
